"source_site","job_id","job_title","company_name","location","salary_min","salary_max","date_posted","tags","job_description","scraped_date"
"RemoteOK","1130160","Finance Expert","xAI","Remote","0","0","2026-02-09","tutor, training, technical, support, investment, finance, engineering, full-time","About xAI xAIâs mission is to create AI systems that can accurately understand the universe and aid humanity in its pursuit of knowledge. Our team is small, highly motivated, and focused on engineering excellence. This organization is for individuals who appreciate challenging themselves and thrive on curiosity. We operate with a flat organizational structure. All employees are expected to be hands-on and to contribute directly to the companyâs mission. Leadership is given to those who show initiative and consistently deliver excellence. Work ethic and strong prioritization skills are important. All employees are expected to have strong communication skills. They should be able to concisely and accurately share knowledge with their teammates. About the Role As an A Finance Expert, you will be instrumental in enhancing the capabilities of our cutting-edge technologies by providing high-quality input and labels using specialized software. Your role involves collaborating closely with...","2026-02-11"
"RemoteOK","1130159","Retention Specialist","Constant Contact","Remote","17","20","2026-02-09","salesforce","At Constant Contact, we are seriously awesome people who take ownership and make an impact by operating with the mindset, integrity and courage of a small business owner. Thereâs something so profoundly rewarding about knowing that your work is empowering people everywhere to pursue their dreams. Here, we all play an integral part in helping business owners, entrepreneurs, non-profits and individuals to succeed by giving them all the help and tools they need to grow online. We're energized by new challenges and new possibilities-and we're just getting started! As a Retention Specialist at Constant Contact, your role is to become a trusted advisor and advocate for our customers at a critical decision point. You will engage directly with customers expressing an intent to cancel or downgrade, and through your consultative, empathetic, and solutions-driven approach, you'll help them rediscover the value of our platform. This position is pivotal in preserving revenue, reducing churn, and ...","2026-02-11"
"RemoteOK","1130158","Brand Designer","Tailscale","Remote","0","0","2026-02-09","design, system, designer, technical, software, ui, web, cloud, management, senior, marketing, full-time, digital nomad","About Tailscale Tailscale is building the new Internet by delivering software that makes it easy to securely interconnect people and their devices, no matter where they are. From hobbyists to multinational corporations, teams of every size use Tailscale each day to protect their networks, share access to internal tools, and more. We're building a future for the Internet that's easy, sensible, and safe, like it used to be. Founded in 2019 and fully distributed, we're backed by Accel, CRV, Insight, Heavybit, and Uncork Capital.Job Description Weâre looking for a Brand Designer to join the Brand Design team and help bring the Tailscale brand to life across marketing, web, and internal initiatives. This is a full-time role with availability during standard working hours. As a key contributor on a small but high-performing team, youâll work closely with senior designers, marketers, and cross-functional partners to create clean, thoughtful, and technically sound design assets. Youâll t...","2026-02-11"
"RemoteOK","1130157","GL Accountant","Teamshares","Remote","0","0","2026-02-09","accountant, support, code, controller, accounting, bookkeeping, payroll, financial, bank, management","My Financial Partner | Remote (EST or CST preferred)My Financial Partner (MFP) brings the financial tools and support of large-scale businesses to small companies. At MFP, our experienced team of accounting professionals delivers high-quality, fractional accounting support to a growing network of small companies, all owned by Teamshares Inc., the largest acquirer of small businesses in the US. As part of this dynamic group of companies, youâll have the opportunity to make a real impact in the lives of small business owners and employees across the country.Position: GL Accountant\nRole Responsibilities:Responsible for recording financial transactions in the accounting systems for multiple client companies.Posts customer payments and maintains an up-to-date accounts receivable aging report, as necessary.Records vendor invoices in clientâs accounting system, uses accounting judgement to code expenses to proper ledger accounts, obtains authorization to pay, and schedules payments in au...","2026-02-11"
"RemoteOK","1130153","Senior Full stack Developer","Lemon.io","Remote","80000","190000","2026-02-09","javascript, react, node, python, aws, gcp, typescript, dev, engineer, full time, full stack, senior","Are you a talented Senior Developer looking for a remote job that lets you show your skills and get decent compensation? Look no further than Lemon.io â the marketplace that connects you with hand-picked startups in the US and Europe.What we offer:The rate depends on your seniority level, skills and experience. We've already paid out over $11M to our engineers.No more hunting for clients or negotiating rates â let us handle the business side of things so you can focus on what you do best.We'll manually find the best project for you according to your skills and preferences.Choose a schedule that works best for you. Itâs possible to communicate async or minimally overlap within team working hours.We respect your seniority so you can expect no micromanagement or screen trackers.Communicate directly with the clients. Most of them have technical backgrounds. Sounds good, yeah?We will support you from the time you submit the application throughout all cooperation stages.Most of our pro...","2026-02-11"
"RemoteOK","1130152","BD Partnerships & Outreach Lead","NOPE","Remote","150000","200000","2026-02-09","sales, marketing, saas, api, ai","People are increasingly talking to AI chatbots as companions, wellbeing coaches, and sometimes in the hardest moments of their lives, in great distress or crisis. That's already happening, at scale, and most platforms have no way to detect or respond appropriately. We're building software, APIs and infrastructure to help them do better. But we're a very small team, and the companies that need this don't know we exist yet.PLEASE NOTE: This is initially a part-time role paying approx $100+ an hour initially for 15hrs a week, six weeks total initial contract. (Total: 9000 USD). We are looking for someone incredibly savvy at BD/Outreach and strong experience in SaaS API (and ideally AI) sales. There will be more work and potentially a full-time role available to you as we grow.This is a new/scary market. Regulations are landing in California, the EU, the UK, but there's no established playbook for how to sell AI safety infrastructure. We don't know exactly what works yet. We need someone w...","2026-02-11"
"RemoteOK","1130151","Talent Development Manager CDD","Pennylane","Paris","0","0","2026-02-09","manager, hr, system, training, technical, recruiter, support, software, test, growth, accounting, financial, finance, management, lead, legal, healthcare","Are you looking to have an impact on the daily life of millions of entrepreneurs in France (and tomorrow in Europe)?Are you looking for a work environment that values trust, proactivity, and autonomy?Are our Engineering principles aligned with your vision?Then Pennylane is the right place for you !Our visionWe aim to become the most beloved financial Operating System of French SMEs and Accounting Firms (and soon, European ones).We help entrepreneurs rid themselves of time-consuming tasks related to accounting and finance while providing them with access to key financial information to assist in making the best decisions for their business.About usPennylane is one of the fastest growing Fintechs in France (and soon to be in Europe!)In 5 years of existence, weâve managed to :ð» Make ourselves known as a groundbreaking accounting and financial software for small businesses and their accountantsð° Raise a total of â¬400 millions, including from Sequoia, the famous fund from the Sili...","2026-02-11"
"RemoteOK","1130150","Account Executive Southeast Region DroneSense","Versaterm","Remote","0","0","2026-02-09","growth, operational, marketing, sales, engineering, executive","The CompanyÂ Versaterm is a global public safety solutions company helping agencies transform how they serve their communities. Since 1977, we've been building an ecosystem of intuitive tools designed for public safety agencies, forensic labs, court systems, schools and other institutions. Through purposeful integrations and a selective growth strategy, we focus on improving workflows to help our customers achieve more efficient operations, better service and more just outcomes. Our teams are driven by innovation, expertise and an unwavering commitment to customer success. As we continue to grow and expand our ecosystem, you'll have the opportunity to contribute to solutions that enhance community safety and transform the future of public safety technology. If you're passionate about making a meaningful difference, we'd love to hear from you. Â We are seeking motivated Regional Account Executives to drive new customer acquisition across public safety agencies with fewer than 150 sworn ...","2026-02-11"
"RemoteOK","1130149","Business Development Executive","Halter","Manawatu","0","0","2026-02-09","support, growth, travel, manager, lead, operations, sales, health, executive","About the roleAs a Business Development Executive at Halter, you will play a critical role in driving business growth and ensuring customer success within your designated territory. You will be responsible for executing sales strategies, building strong customer relationships, and meeting ambitious growth targets, all while acting as Halterâs on-the-ground representative. This role requires a proactive and hands-on approach, with a focus on both expansion and long-term customer satisfaction within the dairy industry. In this role, you will prioritise daily efforts that optimise growth performance and drive value for your customers. Working closely with cross-functional teams, including Product, Support, and other regional sales teams, youâll share field insights to ensure Halterâs technology continues to meet the needs of farmers. Your contributions will directly support Halterâs mission to support 50% of the world's habitable landmass to be more productive and sustainable.We a...","2026-02-11"
"RemoteOK","1130148","Customer Success Manager DroneSense","Versaterm","Remote","0","0","2026-02-09","manager, support, growth, operations, operational","The CompanyÂ Versaterm is a global public safety solutions company helping agencies transform how they serve their communities. Since 1977, we've been building an ecosystem of intuitive tools designed for public safety agencies, forensic labs, court systems, schools and other institutions. Through purposeful integrations and a selective growth strategy, we focus on improving workflows to help our customers achieve more efficient operations, better service and more just outcomes. Our teams are driven by innovation, expertise and an unwavering commitment to customer success. As we continue to grow and expand our ecosystem, you'll have the opportunity to contribute to solutions that enhance community safety and transform the future of public safety technology. If you're passionate about making a meaningful difference, we'd love to hear from you. The Customer Success Manager (CSM) plays a critical role in customer retention, operational success, and longâterm account growth. This positio...","2026-02-11"
"RemoteOK","1130147","DevSecOps Engineer DroneSense","Versaterm","U.S.","0","0","2026-02-09","security, growth, devops, engineer, engineering","The CompanyÂ Versaterm is a global public safety solutions company helping agencies transform how they serve their communities. Since 1977, we've been building an ecosystem of intuitive tools designed for public safety agencies, forensic labs, court systems, schools and other institutions. Through purposeful integrations and a selective growth strategy, we focus on improving workflows to help our customers achieve more efficient operations, better service and more just outcomes. Our teams are driven by innovation, expertise and an unwavering commitment to customer success. As we continue to grow and expand our ecosystem, you'll have the opportunity to contribute to solutions that enhance community safety and transform the future of public safety technology. If you're passionate about making a meaningful difference, we'd love to hear from you.What You Do Work alongside DevOps and engineering teams to ensure our platforms, repositories and CI/CD pipelines are secure by default while rema...","2026-02-11"
"RemoteOK","1130144","Matillion Enterprise Account Executive Saudi Arabia","Matillion","Dubai","0","0","2026-02-08","support, growth, sales, executive","Matillion has been going through a huge amount of growth in EMEA and we are now looking to bring an Enterprise Account Executive to #TeamGreen to support our exciting expansion into Saudi Arabia, specifically to be based out of Dubai. This will be one of our first in region hires, with a huge emphasis on hunting in the region and new logo acquisitions. We want to hire expertise in the region, with Enterprise Account Executives who understand the region and have closed business there before, whilst also having the acumen to develop out a territory both through direct sales but also through our partner ecosystem that already has a presence there. This role will also be supporting a lot of public sector customers, and as such it is a requirement that this hire is fluent in Arabic.Please mention the word **SUPPORTIVE** and tag RMjQwMDoxYTAwOmIwNjA6MWQ5NDo0MTc5OmY3Yzc6NDIxYjo5ZDRk when applying to show you read the job post completely (#RMjQwMDoxYTAwOmIwNjA6MWQ5NDo0MTc5OmY3Yzc6NDIxYjo5ZDRk)...","2026-02-11"
"RemoteOK","1130143","Wing Assistant Sales & Onboarding Specialist","Wing","Manila","0","0","2026-02-08","assistant, technical, support, sales","About Us Wing is seeking elite talent to join M32 AI (backed by top-tier Silicon Valley VCs), dedicated to building agentic AI for SMB's globally. Think of it like a startup within a corporate: fast moving and agile, with the stability of a corporate, and zero bureaucracy. If you're driven by challenge and eager to make a significant impact in a high-caliber role, this is the opportunity you've been waiting for. We're looking for a Sales & Onboarding Specialist to join our team, focused on delivering exceptional demos, onboarding, and technical support for our AI product, Central. This role blends sales acumen, customer success, and technical product guidance, serving as a crucial bridge between clients and our AI solutions.Please mention the word **HANDSOMELY** and tag RMjQwMDoxYTAwOmIwNjA6MWQ5NDo0MTc5OmY3Yzc6NDIxYjo5ZDRk when applying to show you read the job post completely (#RMjQwMDoxYTAwOmIwNjA6MWQ5NDo0MTc5OmY3Yzc6NDIxYjo5ZDRk). This is a beta feature to avoid spam applicants. Com...","2026-02-11"
"RemoteOK","1130142","Partner Sales Manager","Acceldata","Remote","0","0","2026-02-08","manager, saas, salesforce, system, technical, support, travel, cloud, microsoft, leader, strategy, lead, marketing, excel, sales, executive","About Us Acceldata is the market leader in Enterprise Data Observability. Founded in 2018 and backed by top investors including Insight Partners, March Capital, Lightspeed, Sorenson Ventures, Industry Ventures, and Emergent Ventures, we are a Series-C funded company headquartered in Silicon Valley.Our Enterprise Data Observability Platformâthe first of its kindâhelps enterprises build and operate world-class data products by ensuring data is reliable, trusted, and ready to power todayâs most critical technologies, including AI, LLMs, Analytics, and DataOps.Delivered as a SaaS solution, Acceldata is trusted by leading global organizations such as HPE, HSBC, Visa, Freddie Mac, Manulife, Workday, Oracle, PubMatic, PhonePe (Walmart), Hersheyâs, Dun & Bradstreet, and many more.We are looking for candidates in Vancouver or Toronto, Canada or the Eastern USA Position SummaryWe are seeking a results-oriented Partner Sales Manager to recruit, build, and scale revenue-generating partners...","2026-02-11"
"RemoteOK","1130141","Carrier Messaging Compliance Lead","EZTexting","Remote","0","0","2026-02-08","training, code, education, mobile, leader, management, lead, operations, operational, marketing, non tech","Who We AreEZ Texting is a recognized leader in text message marketing for small and medium-sized businesses and organizations, setting the standard for professional texting. Our messaging solutions allow everyone to easily and effectively reach their mobile audiences.We believe in empowering our customers, from nonprofits to retailers, to activate their audience engagement superpowers, one text at a time â and weâre looking for people like you to join our team!Our employees are our greatest strength and we are committed to hiring exceptional, values-aligned talent. We have consistently been rated a Top 100 workplace and are committed to being a best-in-class remote work employer, with benefits to match!We are currently only open to hiring in CA, NY, TX, MA, WA, GA, PA, FL, TN, DC, MO. At this time, we are not able to consider candidates outside of these states.Role OverviewWe are looking for an experienced Carrier Messaging Compliance Lead who is passionate about protecting custome...","2026-02-11"
"RemoteOK","1130140","Launch Operations Lead","Arketa","Mexico City","60000","85000","2026-02-08","saas, technical, support, manager, lead, operations, operational, reliability, go, engineering","Arketa is hiring a Launch Operations Lead to support the quality, reliability, and coordination of customer launches.In this role, youâll partner closely with Onboarding, Migrations, Support, and Engineering to ensure launches stay on track and issues are addressed quickly and clearly when additional intervention is needed. Youâll bring structure and judgment to complex launch moments, helping teams move efficiently while maintaining a high bar for customer experience.Youâll report directly to the Migrations Team Manager to review daily, weekly and quarterly tasks to regulate a steady pipeline flow.This role is ideal for someone who enjoys operational problem-solving, cross-functional collaboration, and being a steady presence during high-impact moments.What Youâll DoSupport Launch Quality & ReliabilityMonitor launches and identify moments that require additional coordination or interventionStep in when launch timelines, data, payments, or app readiness create riskHelp ensure s...","2026-02-11"
"RemoteOK","1130138","Growth Marketing Lead","Gaia Family Inc","Remote","120000","130000","2026-02-07","growth, testing, manager, financial, ads, lead, content, operations, marketing","Our VisionGaia is the first Value-Based family-building company. We give people control over their fertility with clinically proven pathways to parenthood â whether they want a child now or later â and take on the financial risk so that if we donât deliver successful outcomes, they donât pay. Gaia was born from our founderâs own harrowing journey through assisted fertility, and his resolve to build the experience he wished he had.Our mission is to give the best shot at parenthood to anyone who wants a family, with access to a network of clinics selected for their results, flexible payment options, and 90+ NPS wraparound care and support.The RoleAs a Growth Marketing Manager at Gaia, you will own and scale work streams across all things related our paid marketing ecosystem across both D2C and B2B audiences. You will lead strategy, execution, and optimization across all paid channels and emerging platforms to drive awareness, and member acquisition. Collaborating extensively wi...","2026-02-11"
"RemoteOK","1130137","Social Media Specialist","MyShell","APAC","0","0","2026-02-07","growth, video, content, marketing","About MyShell MyShell is revolutionizing the AI landscape by building an open ecosystem for AI-native apps. Our powerful platform and intuitive toolkit empower anyone to create, access, and benefit from AI-powered applications. Launched in April 2023, MyShell has quickly gained global traction, attracting a diverse community of creators and users. Our team of talented individuals from top institutions like MIT, Princeton, and Oxford is committed to fostering innovation in a supportive and transparent work environment. With funding from leading VCs, MyShell is poised to reshape the future of AI, making it accessible and integral to everyone's daily life. Join us on this thrilling journey as we redefine what's possible with AI.About the Role As the core driver of our social media growth, you will be responsible for building MyShell AI's brand influence from 0 to 1 across mainstream global platforms (TikTok, Instagram, X, Facebook, etc.). Leveraging high-level visual creativity and a shar...","2026-02-11"
"RemoteOK","1130136","Senior Data Engineer","Lalamove","Kuala Lumpur","0","0","2026-02-07","technical, support, java, senior, operations, engineer, engineering, linux","At Lalamove, we believe in the power of community. Millions of drivers and customers use our technology every day to connect with one another and move things that matter. Delivery is what we do best and we ensure it is always fast and simple. Since 2013, we have tackled the logistics industry head on to find the most innovative solutions for the worldâs delivery needs. We are full steam ahead to make Lalamove synonymous with delivery and on a mission to impact as many local communities we can. We have massively scaled our efforts across Asia and now have our sights on taking our best in class technology to the rest of the world. And we are looking for talented professionals to join us in this journey!!As a Senior Data Engineer at Lalamove, you will be joining the global Data team as a key member of our expanding technology team in our new market. Due to the importance of user privacy and our commitment to compliance laws, we need an additional engineer to support our operations in th...","2026-02-11"
"RemoteOK","1130135","Senior Web Developer","Coin Market Cap Ltd","Remote","0","0","2026-02-07","developer, web, crypto, cryptocurrency, technical, support, code, typescript, mobile, senior, digital nomad","Company Description POWERING CRYPTO WITH DATACoinMarketCap is the worldâs most trusted and accurate source of data for cryptocurrencies. Used by millions of individuals, organizations, and exchanges, CoinMarketCap brings the most up-to-date market capitalizations, pricing, and cryptocurrency information to our users.Pulling data from multiple exchanges and combining our robust research allows us to provide the most realistic representation of each cryptocurrency. As we grow, we will continue to provide access to our data wherever, whenever, and however is most helpful to our users. CREATING AN OPEN WORLDOur mission is to be the worldâs authority on cryptocurrency data. We believe in an open and decentralized world, where we play a pivotal role in powering decisions and insights to drive greater understanding and adoption of cryptocurrencies. We want to achieve this mission with people who truly believe in the value and potential of empowering individuals. Job Description1. Implemen...","2026-02-11"
"RemoteOK","1130134","Sales Specialist Arbitrage and Quant","Kpler","Singapore","0","0","2026-02-07","support, growth, financial, management, lead, senior, sales","At Kpler, we are dedicated to helping our clients navigate complex markets with ease. By simplifying global trade information and providing valuable insights, we empower organisations to make informed decisions in commodities, energy, and maritime sectors. Since our founding in 2014, we have focused on delivering top-tier intelligence through user-friendly platforms. Our team of over 700 experts from 35+ countries works tirelessly to transform intricate data into actionable strategies, ensuring our clients stay ahead in a dynamic market landscape. Join us to leverage cutting-edge innovation for impactful results and experience unparalleled support on your journey to success.Weâre seeking a proactive, hands-on Sales Specialist to drive adoption and growth of Kplerâs new arbitrage solutions across APAC. This role is focused on expanding the adoption of our Kpler arbitrage and Bridgeton offerings within the region, working closely with the Product and Commercial teams to strengthen ou...","2026-02-11"
"RemoteOK","1130133","Technical Support Engineer Singapore","Dataiku","Singapore","0","0","2026-02-07","technical, support, growth, engineer, engineering","Dataiku is The Universal AI Platformâ¢, giving organizations control over their AI talent, processes, and technologies to unleash the creation of analytics, models, and agents. Providing no-, low-, and full-code capabilities, Dataiku meets teams where they are today, allowing them to begin building with AI using their existing skills and knowledge. Why Engineering at Dataiku? Dataiku's on-premise or SaaS-deployed platform connects many data science technologies, and our technology stack reflects our commitment to quality and innovation. We integrate the best of data and AI tech, selecting tools that truly enhance our product. From the latest LLMs to our dedication to open source communities, you'll work with a dynamic range of technologies and contribute to the collective knowledge of global tech innovators. You can find out even more about working in Engineering at Dataiku by taking a look here. What to know about the Dataiku Support Team At Dataiku, the Support organization is a ful...","2026-02-11"
"RemoteOK","1130132","Senior Product Marketer API","CoinGecko","Malaysia","0","0","2026-02-07","saas, defi, crypto, cryptocurrency, technical, support, growth, voice, financial, education, api, leader, strategy, content, senior, junior, marketer, marketing, sales, educational","CoinGecko is a global leader in tracking cryptocurrency data. Operating since 2014, CoinGecko has built the world's largest cryptocurrency data platform, tracking over 10,000 tokens across more than 400 exchanges, serving over 300 million page views in more than 100 countries, and handling more than 45 billion API calls every month. We are proud to have played a major part in mainstream awareness, adoption, and education of cryptocurrency globally.We at CoinGecko believe that cryptocurrency and blockchain will define the future of finance, bringing greater financial and economic freedom around the world. In anticipation of that future, CoinGecko is building the foundation to scale cryptocurrency market data to serve billions.ï»¿We practice transparent salaries and a level structure at CoinGecko:â¢ The salary for this position is RM14,042 - RM15,446.â¢ Learn more about our level structure at CoinGecko's Career Progression.We are hiring a Senior Product Marketer to drive the reach, ado...","2026-02-11"
"RemoteOK","1130131","UI Developer R01560583","Brillio","Phoenix, Arizona, United States","0","0","2026-02-07","developer, ui, design, react, reactjs, consultant, web, javascript, html, angular, mobile, strategy, digital nomad","About Brillio: Brillio is one of the fastest growing digital technology service providers and a partner of choice for many Fortune 1000 companies seeking to turn disruption into a competitive advantage through innovative digital adoption. Brillio, renowned for its world-class professionals, referred to as ""Brillians"", distinguishes itself through their capacity to seamlessly integrate cutting-edge digital and design thinking skills with an unwavering dedication to client satisfaction. Brillio takes pride in its status as an employer of choice, consistently attracting the most exceptional and talented individuals due to its unwavering emphasis on contemporary, groundbreaking technologies, and exclusive digital projects. Brillio's relentless commitment to providing an exceptional experience to its Brillians and nurturing their full potential consistently garners them the Great Place to WorkÂ® certification year after year.UI Developer (React and Node)\nPrimary SkillsAngularJS, JavaScript...","2026-02-11"
